# p = 1 atm, T = 300 K, U₀ = 30 m/s, non-reacting, no cone
# SI units (mm, m/s)
# Axial scan
# X  Y  Z  uc  vc  wc  uz  ur1  ur2  uz'  ur1'  ur2'
35.00   31.00   0.00    965 0   43  13.01   -7.30   ?   4.94    3.24    ?
35.00   30.00   0.00    1215    0   69  14.60   -7.37   ?   5.09    3.85    ?
35.00   29.00   0.00    1384    0   82  16.11   -7.32   ?   4.94    3.76    ?
35.00   28.00   0.00    1603    0   127 16.95   -7.15   ?   5.03    3.49    ?
35.00   27.00   0.00    1470    0   106 17.57   -6.62   ?   5.25    3.42    ?
35.00   26.00   0.00    1604    0   121 17.82   -6.54   ?   5.72    4.03    ?
35.00   25.00   0.00    1636    0   96  17.54   -6.25   ?   6.09    3.66    ?
35.00   24.00   0.00    1573    0   91  16.47   -4.11   ?   6.72    4.07    ?
35.00   23.00   0.00    1956    0   101 15.23   -4.23   ?   7.06    3.91    ?
35.00   22.00   0.00    1435    0   71  13.05   -3.59   ?   7.45    4.28    ?
35.00   21.00   0.00    1405    0   80  11.38   -2.20   ?   7.33    3.59    ?
35.00   20.00   0.00    1383    0   74  8.50    -1.95   ?   7.14    3.22    ?
35.00   19.00   0.00    1168    1   47  6.77    -2.93   ?   6.30    3.03    ?
35.00   18.00   0.00    1078    3   40  5.04    -1.47   ?   5.82    5.15    ?
35.00   17.00   0.00    920 0   47  3.43    -1.90   ?   5.24    3.75    ?
35.00   16.00   0.00    832 0   49  1.91    -1.28   ?   4.28    5.42    ?
35.00   15.00   0.00    826 0   43  1.57    -2.56   ?   4.27    3.54    ?
35.00   14.00   0.00    814 0   47  0.90    2.18    ?   4.14    9.53    ?
35.00   13.00   0.00    731 3   45  0.92    0.65    ?   3.78    8.73    ?
35.00   12.00   0.00    676 0   55  0.02    4.04    ?   3.55    8.91    ?
35.00   11.00   0.00    643 0   72  -0.50   8.20    ?   3.64    10.21   ?
35.00   10.00   0.00    461 0   56  0.03    8.81    ?   3.54    10.53   ?
35.00   9.00    0.00    398 0   36  -0.36   12.53   ?   3.49    9.01    ?
35.00   8.00    0.00    443 0   28  -0.74   3.25    ?   3.32    8.81    ?
35.00   7.00    0.00    526 0   28  -1.08   2.71    ?   3.21    8.87    ?
35.00   6.00    0.00    287 1   21  -1.53   5.15    ?   3.04    10.04   ?
35.00   5.00    0.00    272 9   36  -1.60   6.85    ?   2.89    10.27   ?
35.00   4.00    0.00    194 5   30  -2.11   9.94    ?   2.82    9.48    ?
35.00   3.00    0.00    147 9   22  -1.58   2.18    ?   3.10    8.50    ?
35.00   2.00    0.00    140 9   38  -2.13   12.63   ?   2.61    8.27    ?
35.00   1.00    0.00    133 14  41  -3.15   6.17    -1.10   1.98    9.27    1.53
35.00   0.00    0.00    109 6   20  -2.91   0.09    ?   2.15    5.68    ?
35.00   -1.00   0.00    149 0   17  -3.16   2.35    ?   2.13    1.51    ?
35.00   -2.00   0.00    178 2   11  -3.35   1.10    ?   2.01    1.18    ?
35.00   -3.00   0.00    212 0   20  -3.36   1.24    ?   1.92    4.33    ?
35.00   -4.00   0.00    268 7   16  -3.25   0.69    ?   1.97    1.68    ?
35.00   -5.00   0.00    258 3   12  -3.55   1.14    ?   1.68    1.53    ?
35.00   -6.00   0.00    334 7   14  -3.75   0.25    ?   1.55    0.88    ?
35.00   -7.00   0.00    296 0   33  -3.72   0.08    ?   1.75    0.99    ?
35.00   -8.00   0.00    256 0   35  -3.88   -0.55   ?   1.62    1.33    ?
35.00   -9.00   0.00    228 0   26  -4.15   -7.39   ?   1.41    8.42    ?
35.00   -10.00  0.00    224 0   9   -3.95   ?   ?   1.78    ?   ?
35.00   -11.00  0.00    199 1   11  -4.04   -0.52   ?   1.65    1.25    ?
35.00   -12.00  0.00    138 0   6   -3.94   ?   ?   1.75    ?   ?
35.00   -13.00  0.00    102 0   15  -4.28   -6.63   ?   1.50    7.70    ?
35.00   -14.00  0.00    143 0   0   -4.22   ?   ?   2.04    ?   ?
35.00   -15.00  0.00    62  0   1   -3.58   ?   ?   2.33    ?   ?
35.00   -16.00  0.00    81  0   8   -3.91   ?   ?   2.76    ?   ?
35.00   -17.00  0.00    106 0   0   -3.02   ?   ?   4.05    ?   ?
35.00   -18.00  0.00    486 0   121 -3.45   -1.55   ?   3.37    2.99    ?
35.00   -19.00  0.00    704 0   112 -2.56   -1.12   ?   4.44    2.79    ?
35.00   -20.00  0.00    787 0   99  -0.97   -2.00   ?   5.49    3.56    ?
35.00   -21.00  0.00    912 0   100 0.96    -1.46   ?   7.27    4.37    ?
35.00   -22.00  0.00    1651    0   183 1.75    -2.56   ?   7.81    4.33    ?
35.00   -23.00  0.00    1269    0   152 3.90    -2.57   ?   8.80    4.15    ?
35.00   -24.00  0.00    1429    0   151 5.48    -2.02   ?   8.75    4.52    ?
35.00   -25.00  0.00    1952    0   207 7.33    -3.32   ?   9.37    5.53    ?
35.00   -26.00  0.00    977 0   108 9.50    -3.32   ?   9.52    4.81    ?
35.00   -27.00  0.00    1104    0   133 11.47   -3.37   ?   9.10    4.62    ?
35.00   -28.00  0.00    1306    0   137 12.41   -4.20   ?   8.57    4.45    ?
35.00   -29.00  0.00    1319    0   130 13.06   -4.23   ?   8.47    5.24    ?
35.00   -30.00  0.00    1658    0   196 13.27   -3.93   ?   8.07    5.14    ?
35.00   -31.00  0.00    1937    0   250 13.81   -5.22   ?   7.44    4.33    ?
35.00   -33.00  0.00    1522    0   162 13.39   -4.05   ?   6.84    4.62    ?
35.00   -35.00  0.00    1992    0   108 12.71   -3.82   ?   6.22    4.20    ?
35.00   -37.00  0.00    1336    0   91  11.49   -4.42   ?   5.60    3.76    ?
35.00   -39.00  0.00    982 0   104 10.06   -4.31   ?   5.37    4.66    ?
35.00   -41.00  0.00    1292    0   82  8.50    -3.72   ?   4.68    3.87    ?
35.00   -43.00  0.00    1182    0   114 6.84    -3.57   ?   4.63    3.32    ?
35.00   -45.00  0.00    982 0   108 4.98    -2.69   ?   4.26    3.28    ?
35.00   -47.00  0.00    692 0   87  2.94    -4.54   ?   4.29    3.32    ?
35.00   -49.00  0.00    691 0   121 -1.49   -6.68   ?   7.79    6.79    ?
35.00   -51.00  0.00    14  0   4986    -3.50   0.05    ?   5.92    0.33    ?


# 35 mm Z traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
